iter	Logloss
0	0.3490314102
1	0.2905770111
2	0.2496909332
3	0.2273587036
4	0.1977832603
5	0.1844617462
6	0.1697372627
7	0.1589896774
8	0.1456282997
9	0.1403491592
10	0.1335185432
11	0.1249766254
12	0.118071022
13	0.1120712852
14	0.1055384922
15	0.1007698441
16	0.09591044426
17	0.08823320389
18	0.08288166046
19	0.07893571377
